List,dec
text+button,11.1%
popup_with_access,66.7%
text_only,33.3%
open_with,24.4%
text_empty,20.0%
share_with,13.5%
list+on_off,94.3%
advertisement+button,75.0%
image_list,0.0%
popup_date,50.0%
movie,60.0%
menu_list,40.0%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,76.0%
image_view,35.0%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,17.1%
pinpoint_location,80.0%
popup_with_continue_as_name,80.0%
list,2.5%
camera,10.0%
picture,0.0%
popup,10.0%
navigation_menu,20.0%
input_form,0.0%
select_dialog,53.3%
calendar,0.0%
text_image,3.3%
continue_button,7.1%
theme,36.4%
homescreen,20.0%
Total,29.2%
