List,dec
text+button,16.7%
popup_with_access,80.0%
text_only,26.7%
open_with,82.2%
text_empty,10.0%
share_with,1.9%
list+on_off,71.4%
advertisement+button,25.0%
image_list,66.7%
popup_date,16.7%
movie,3.3%
menu_list,82.9%
translate_with_sound,0.0%
IME,0.0%
dialer,26.7%
translate,92.0%
image_view,7.5%
location_selection,3.3%
continue_as_name,0.0%
popup_with_full_screen,2.9%
pinpoint_location,76.7%
popup_with_continue_as_name,34.3%
list,17.5%
camera,0.0%
picture,0.0%
popup,10.0%
navigation_menu,28.9%
input_form,0.0%
select_dialog,3.3%
calendar,0.0%
text_image,13.3%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,26.8%
