List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,66.7%
open_with,53.3%
text_empty,3.3%
share_with,76.9%
list+on_off,94.3%
advertisement+button,17.5%
image_list,64.4%
popup_date,66.7%
movie,60.0%
menu_list,40.0%
translate_with_sound,0.0%
IME,0.0%
dialer,13.3%
translate,92.0%
image_view,22.5%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,8.6%
pinpoint_location,76.7%
popup_with_continue_as_name,0.0%
list,2.5%
camera,57.5%
picture,0.0%
popup,6.7%
navigation_menu,4.4%
input_form,10.0%
select_dialog,53.3%
calendar,3.3%
text_image,10.0%
continue_button,2.4%
theme,9.1%
homescreen,0.0%
Total,30.6%
