List,dec
text+button,11.1%
popup_with_access,3.3%
text_only,10.0%
open_with,0.0%
text_empty,6.7%
share_with,94.2%
list+on_off,0.0%
advertisement+button,92.5%
image_list,22.2%
popup_date,50.0%
movie,20.0%
menu_list,42.9%
translate_with_sound,0.0%
IME,10.0%
dialer,20.0%
translate,92.0%
image_view,2.5%
location_selection,3.3%
continue_as_name,75.0%
popup_with_full_screen,8.6%
pinpoint_location,0.0%
popup_with_continue_as_name,5.7%
list,7.5%
camera,5.0%
picture,53.3%
popup,10.0%
navigation_menu,22.2%
input_form,6.7%
select_dialog,30.0%
calendar,3.3%
text_image,6.7%
continue_button,2.4%
theme,18.2%
homescreen,0.0%
Total,21.3%
