List,dec
text+button,11.1%
popup_with_access,83.3%
text_only,10.0%
open_with,4.4%
text_empty,3.3%
share_with,9.6%
list+on_off,94.3%
advertisement+button,2.5%
image_list,2.2%
popup_date,50.0%
movie,20.0%
menu_list,37.1%
translate_with_sound,0.0%
IME,10.0%
dialer,13.3%
translate,92.0%
image_view,2.5%
location_selection,3.3%
continue_as_name,75.0%
popup_with_full_screen,5.7%
pinpoint_location,76.7%
popup_with_continue_as_name,2.9%
list,2.5%
camera,92.5%
picture,0.0%
popup,3.3%
navigation_menu,35.6%
input_form,36.7%
select_dialog,36.7%
calendar,0.0%
text_image,3.3%
continue_button,2.4%
theme,18.2%
homescreen,20.0%
Total,23.9%
