List,dec
text+button,11.1%
popup_with_access,0.0%
text_only,6.7%
open_with,55.6%
text_empty,3.3%
share_with,90.4%
list+on_off,91.4%
advertisement+button,57.5%
image_list,17.8%
popup_date,0.0%
movie,30.0%
menu_list,2.9%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,0.0%
image_view,7.5%
location_selection,76.7%
continue_as_name,25.0%
popup_with_full_screen,2.9%
pinpoint_location,76.7%
popup_with_continue_as_name,77.1%
list,5.0%
camera,12.5%
picture,6.7%
popup,3.3%
navigation_menu,11.1%
input_form,3.3%
select_dialog,60.0%
calendar,53.3%
text_image,3.3%
continue_button,7.1%
theme,0.0%
homescreen,0.0%
Total,28.3%
