List,dec
text+button,22.2%
popup_with_access,3.3%
text_only,3.3%
open_with,2.2%
text_empty,10.0%
share_with,94.2%
list+on_off,22.9%
advertisement+button,60.0%
image_list,2.2%
popup_date,0.0%
movie,63.3%
menu_list,82.9%
translate_with_sound,0.0%
IME,30.0%
dialer,20.0%
translate,92.0%
image_view,17.5%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,11.4%
pinpoint_location,6.7%
popup_with_continue_as_name,2.9%
list,2.5%
camera,35.0%
picture,53.3%
popup,16.7%
navigation_menu,2.2%
input_form,3.3%
select_dialog,50.0%
calendar,90.0%
text_image,3.3%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,26.4%
