List,dec
text+button,11.1%
popup_with_access,3.3%
text_only,30.0%
open_with,2.2%
text_empty,6.7%
share_with,94.2%
list+on_off,0.0%
advertisement+button,92.5%
image_list,22.2%
popup_date,50.0%
movie,20.0%
menu_list,5.7%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,12.5%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,8.6%
pinpoint_location,0.0%
popup_with_continue_as_name,2.9%
list,7.5%
camera,20.0%
picture,0.0%
popup,3.3%
navigation_menu,31.1%
input_form,6.7%
select_dialog,3.3%
calendar,86.7%
text_image,3.3%
continue_button,2.4%
theme,18.2%
homescreen,20.0%
Total,22.4%
