List,dec
text+button,27.8%
popup_with_access,80.0%
text_only,46.7%
open_with,51.1%
text_empty,13.3%
share_with,76.9%
list+on_off,74.3%
advertisement+button,17.5%
image_list,64.4%
popup_date,0.0%
movie,63.3%
menu_list,40.0%
translate_with_sound,0.0%
IME,0.0%
dialer,13.3%
translate,92.0%
image_view,20.0%
location_selection,3.3%
continue_as_name,0.0%
popup_with_full_screen,14.3%
pinpoint_location,76.7%
popup_with_continue_as_name,77.1%
list,2.5%
camera,0.0%
picture,53.3%
popup,30.0%
navigation_menu,28.9%
input_form,3.3%
select_dialog,6.7%
calendar,33.3%
text_image,13.3%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,34.3%
