List,dec
text+button,5.6%
popup_with_access,76.7%
text_only,3.3%
open_with,51.1%
text_empty,3.3%
share_with,1.9%
list+on_off,82.9%
advertisement+button,92.5%
image_list,66.7%
popup_date,16.7%
movie,60.0%
menu_list,17.1%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,5.0%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,2.9%
pinpoint_location,80.0%
popup_with_continue_as_name,2.9%
list,25.0%
camera,57.5%
picture,0.0%
popup,20.0%
navigation_menu,11.1%
input_form,3.3%
select_dialog,20.0%
calendar,56.7%
text_image,3.3%
continue_button,0.0%
theme,4.5%
homescreen,0.0%
Total,29.4%
