List,dec
text+button,22.2%
popup_with_access,80.0%
text_only,3.3%
open_with,4.4%
text_empty,33.3%
share_with,94.2%
list+on_off,88.6%
advertisement+button,92.5%
image_list,64.4%
popup_date,0.0%
movie,6.7%
menu_list,0.0%
translate_with_sound,0.0%
IME,0.0%
dialer,26.7%
translate,92.0%
image_view,5.0%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,8.6%
pinpoint_location,0.0%
popup_with_continue_as_name,68.6%
list,0.0%
camera,5.0%
picture,0.0%
popup,13.3%
navigation_menu,4.4%
input_form,6.7%
select_dialog,6.7%
calendar,0.0%
text_image,20.0%
continue_button,4.8%
theme,18.2%
homescreen,0.0%
Total,27.5%
