List,dec
text+button,5.6%
popup_with_access,0.0%
text_only,10.0%
open_with,2.2%
text_empty,6.7%
share_with,94.2%
list+on_off,0.0%
advertisement+button,92.5%
image_list,22.2%
popup_date,50.0%
movie,20.0%
menu_list,5.7%
translate_with_sound,0.0%
IME,10.0%
dialer,20.0%
translate,92.0%
image_view,5.0%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,28.6%
pinpoint_location,3.3%
popup_with_continue_as_name,2.9%
list,2.5%
camera,92.5%
picture,0.0%
popup,3.3%
navigation_menu,2.2%
input_form,3.3%
select_dialog,30.0%
calendar,86.7%
text_image,6.7%
continue_button,7.1%
theme,77.3%
homescreen,20.0%
Total,26.0%
