List,dec
text+button,0.0%
popup_with_access,0.0%
text_only,6.7%
open_with,57.8%
text_empty,3.3%
share_with,36.5%
list+on_off,68.6%
advertisement+button,77.5%
image_list,62.2%
popup_date,0.0%
movie,13.3%
menu_list,80.0%
translate_with_sound,0.0%
IME,0.0%
dialer,33.3%
translate,0.0%
image_view,15.0%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,0.0%
pinpoint_location,0.0%
popup_with_continue_as_name,0.0%
list,25.0%
camera,7.5%
picture,0.0%
popup,0.0%
navigation_menu,0.0%
input_form,0.0%
select_dialog,3.3%
calendar,0.0%
text_image,6.7%
continue_button,0.0%
theme,4.5%
homescreen,0.0%
Total,19.7%
