List,dec
text+button,5.6%
popup_with_access,76.7%
text_only,46.7%
open_with,4.4%
text_empty,20.0%
share_with,76.9%
list+on_off,74.3%
advertisement+button,17.5%
image_list,2.2%
popup_date,66.7%
movie,63.3%
menu_list,2.9%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,30.0%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,8.6%
pinpoint_location,76.7%
popup_with_continue_as_name,80.0%
list,0.0%
camera,7.5%
picture,53.3%
popup,3.3%
navigation_menu,4.4%
input_form,3.3%
select_dialog,56.7%
calendar,0.0%
text_image,13.3%
continue_button,4.8%
theme,77.3%
homescreen,0.0%
Total,29.0%
