List,dec
text+button,11.1%
popup_with_access,6.7%
text_only,3.3%
open_with,0.0%
text_empty,6.7%
share_with,94.2%
list+on_off,0.0%
advertisement+button,92.5%
image_list,40.0%
popup_date,50.0%
movie,43.3%
menu_list,0.0%
translate_with_sound,0.0%
IME,10.0%
dialer,20.0%
translate,92.0%
image_view,5.0%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,28.6%
pinpoint_location,0.0%
popup_with_continue_as_name,0.0%
list,10.0%
camera,35.0%
picture,6.7%
popup,3.3%
navigation_menu,22.2%
input_form,3.3%
select_dialog,0.0%
calendar,86.7%
text_image,6.7%
continue_button,2.4%
theme,77.3%
homescreen,20.0%
Total,25.0%
