List,dec
text+button,11.1%
popup_with_access,80.0%
text_only,16.7%
open_with,4.4%
text_empty,3.3%
share_with,84.6%
list+on_off,88.6%
advertisement+button,72.5%
image_list,26.7%
popup_date,16.7%
movie,53.3%
menu_list,17.1%
translate_with_sound,100.0%
IME,20.0%
dialer,6.7%
translate,92.0%
image_view,5.0%
location_selection,76.7%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,0.0%
popup_with_continue_as_name,0.0%
list,45.0%
camera,90.0%
picture,40.0%
popup,3.3%
navigation_menu,62.2%
input_form,13.3%
select_dialog,0.0%
calendar,0.0%
text_image,6.7%
continue_button,11.9%
theme,0.0%
homescreen,0.0%
Total,34.8%
