List,dec
text+button,11.1%
popup_with_access,6.7%
text_only,3.3%
open_with,2.2%
text_empty,20.0%
share_with,94.2%
list+on_off,91.4%
advertisement+button,87.5%
image_list,20.0%
popup_date,33.3%
movie,56.7%
menu_list,5.7%
translate_with_sound,100.0%
IME,20.0%
dialer,6.7%
translate,4.0%
image_view,2.5%
location_selection,76.7%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,3.3%
popup_with_continue_as_name,0.0%
list,10.0%
camera,0.0%
picture,93.3%
popup,13.3%
navigation_menu,4.4%
input_form,16.7%
select_dialog,23.3%
calendar,6.7%
text_image,20.0%
continue_button,4.8%
theme,0.0%
homescreen,20.0%
Total,25.8%
