List,dec
text+button,5.6%
popup_with_access,76.7%
text_only,10.0%
open_with,17.8%
text_empty,6.7%
share_with,3.8%
list+on_off,91.4%
advertisement+button,57.5%
image_list,17.8%
popup_date,0.0%
movie,30.0%
menu_list,80.0%
translate_with_sound,0.0%
IME,0.0%
dialer,0.0%
translate,92.0%
image_view,10.0%
location_selection,76.7%
continue_as_name,25.0%
popup_with_full_screen,2.9%
pinpoint_location,76.7%
popup_with_continue_as_name,77.1%
list,30.0%
camera,12.5%
picture,6.7%
popup,3.3%
navigation_menu,11.1%
input_form,0.0%
select_dialog,60.0%
calendar,46.7%
text_image,6.7%
continue_button,7.1%
theme,0.0%
homescreen,20.0%
Total,30.4%
