List,dec
text+button,5.6%
popup_with_access,33.3%
text_only,3.3%
open_with,0.0%
text_empty,30.0%
share_with,94.2%
list+on_off,20.0%
advertisement+button,0.0%
image_list,6.7%
popup_date,0.0%
movie,3.3%
menu_list,2.9%
translate_with_sound,0.0%
IME,10.0%
dialer,13.3%
translate,92.0%
image_view,2.5%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,20.0%
pinpoint_location,0.0%
popup_with_continue_as_name,2.9%
list,15.0%
camera,92.5%
picture,53.3%
popup,6.7%
navigation_menu,8.9%
input_form,36.7%
select_dialog,86.7%
calendar,6.7%
text_image,20.0%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,24.4%
