List,dec
text+button,5.6%
popup_with_access,83.3%
text_only,16.7%
open_with,80.0%
text_empty,23.3%
share_with,80.8%
list+on_off,62.9%
advertisement+button,75.0%
image_list,31.1%
popup_date,33.3%
movie,20.0%
menu_list,37.1%
translate_with_sound,0.0%
IME,10.0%
dialer,0.0%
translate,0.0%
image_view,5.0%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,5.7%
pinpoint_location,3.3%
popup_with_continue_as_name,77.1%
list,62.5%
camera,92.5%
picture,0.0%
popup,3.3%
navigation_menu,2.2%
input_form,36.7%
select_dialog,36.7%
calendar,80.0%
text_image,3.3%
continue_button,4.8%
theme,18.2%
homescreen,0.0%
Total,35.9%
