List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,3.3%
open_with,22.2%
text_empty,13.3%
share_with,76.9%
list+on_off,88.6%
advertisement+button,27.5%
image_list,20.0%
popup_date,0.0%
movie,6.7%
menu_list,85.7%
translate_with_sound,0.0%
IME,0.0%
dialer,0.0%
translate,92.0%
image_view,12.5%
location_selection,3.3%
continue_as_name,25.0%
popup_with_full_screen,2.9%
pinpoint_location,76.7%
popup_with_continue_as_name,0.0%
list,40.0%
camera,92.5%
picture,53.3%
popup,3.3%
navigation_menu,13.3%
input_form,6.7%
select_dialog,46.7%
calendar,60.0%
text_image,16.7%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,32.6%
