List,dec
text+button,16.7%
popup_with_access,3.3%
text_only,26.7%
open_with,35.6%
text_empty,16.7%
share_with,80.8%
list+on_off,94.3%
advertisement+button,45.0%
image_list,17.8%
popup_date,33.3%
movie,23.3%
menu_list,2.9%
translate_with_sound,94.1%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,10.0%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,5.7%
pinpoint_location,0.0%
popup_with_continue_as_name,80.0%
list,52.5%
camera,0.0%
picture,6.7%
popup,6.7%
navigation_menu,24.4%
input_form,10.0%
select_dialog,43.3%
calendar,10.0%
text_image,3.3%
continue_button,9.5%
theme,18.2%
homescreen,40.0%
Total,29.0%
