List,dec
text+button,5.6%
popup_with_access,73.3%
text_only,53.3%
open_with,2.2%
text_empty,16.7%
share_with,94.2%
list+on_off,94.3%
advertisement+button,85.0%
image_list,17.8%
popup_date,33.3%
movie,63.3%
menu_list,0.0%
translate_with_sound,100.0%
IME,10.0%
dialer,13.3%
translate,0.0%
image_view,5.0%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,28.6%
pinpoint_location,3.3%
popup_with_continue_as_name,5.7%
list,45.0%
camera,57.5%
picture,0.0%
popup,16.7%
navigation_menu,6.7%
input_form,33.3%
select_dialog,16.7%
calendar,0.0%
text_image,3.3%
continue_button,0.0%
theme,18.2%
homescreen,0.0%
Total,29.4%
