List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,26.7%
open_with,35.6%
text_empty,3.3%
share_with,80.8%
list+on_off,0.0%
advertisement+button,45.0%
image_list,17.8%
popup_date,33.3%
movie,26.7%
menu_list,82.9%
translate_with_sound,94.1%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,7.5%
location_selection,3.3%
continue_as_name,75.0%
popup_with_full_screen,5.7%
pinpoint_location,0.0%
popup_with_continue_as_name,80.0%
list,0.0%
camera,0.0%
picture,6.7%
popup,10.0%
navigation_menu,24.4%
input_form,6.7%
select_dialog,43.3%
calendar,56.7%
text_image,6.7%
continue_button,4.8%
theme,77.3%
homescreen,40.0%
Total,28.5%
