List,dec
text+button,11.1%
popup_with_access,0.0%
text_only,3.3%
open_with,2.2%
text_empty,3.3%
share_with,94.2%
list+on_off,31.4%
advertisement+button,2.5%
image_list,2.2%
popup_date,0.0%
movie,6.7%
menu_list,0.0%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,17.5%
location_selection,0.0%
continue_as_name,25.0%
popup_with_full_screen,5.7%
pinpoint_location,0.0%
popup_with_continue_as_name,80.0%
list,12.5%
camera,92.5%
picture,0.0%
popup,3.3%
navigation_menu,20.0%
input_form,3.3%
select_dialog,36.7%
calendar,0.0%
text_image,20.0%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,20.4%
