List,dec
text+button,5.6%
popup_with_access,6.7%
text_only,13.3%
open_with,82.2%
text_empty,36.7%
share_with,1.9%
list+on_off,37.1%
advertisement+button,85.0%
image_list,2.2%
popup_date,0.0%
movie,63.3%
menu_list,42.9%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,7.5%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,11.4%
pinpoint_location,0.0%
popup_with_continue_as_name,80.0%
list,2.5%
camera,0.0%
picture,0.0%
popup,3.3%
navigation_menu,4.4%
input_form,6.7%
select_dialog,50.0%
calendar,0.0%
text_image,3.3%
continue_button,2.4%
theme,95.5%
homescreen,20.0%
Total,26.5%
