List,dec
text+button,0.0%
popup_with_access,0.0%
text_only,20.0%
open_with,22.2%
text_empty,30.0%
share_with,94.2%
list+on_off,88.6%
advertisement+button,27.5%
image_list,20.0%
popup_date,0.0%
movie,63.3%
menu_list,85.7%
translate_with_sound,0.0%
IME,10.0%
dialer,0.0%
translate,84.0%
image_view,2.5%
location_selection,16.7%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,73.3%
popup_with_continue_as_name,85.7%
list,0.0%
camera,92.5%
picture,6.7%
popup,3.3%
navigation_menu,2.2%
input_form,36.7%
select_dialog,20.0%
calendar,60.0%
text_image,3.3%
continue_button,2.4%
theme,0.0%
homescreen,20.0%
Total,33.9%
