List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,10.0%
open_with,2.2%
text_empty,6.7%
share_with,94.2%
list+on_off,2.9%
advertisement+button,2.5%
image_list,66.7%
popup_date,0.0%
movie,63.3%
menu_list,82.9%
translate_with_sound,0.0%
IME,0.0%
dialer,33.3%
translate,92.0%
image_view,12.5%
location_selection,3.3%
continue_as_name,0.0%
popup_with_full_screen,2.9%
pinpoint_location,76.7%
popup_with_continue_as_name,2.9%
list,30.0%
camera,0.0%
picture,0.0%
popup,26.7%
navigation_menu,4.4%
input_form,0.0%
select_dialog,53.3%
calendar,90.0%
text_image,6.7%
continue_button,9.5%
theme,0.0%
homescreen,0.0%
Total,26.7%
