List,dec
r31,33.3%
r7,100.0%
r10,0.0%
r21,75.0%
r34,37.1%
r4,10.0%
r33,100.0%
r12,10.0%
r13,40.0%
r6,0.0%
r29,0.0%
r3,6.7%
r24,7.5%
r32,0.0%
r16,43.3%
r28,100.0%
r25,33.3%
r23,0.0%
r18,6.7%
r11,0.0%
r27,96.0%
r5,10.0%
r17,3.3%
r19,17.6%
r8,0.0%
r1,66.7%
r30,3.3%
r22,4.8%
r26,0.0%
r9,0.0%
r14,4.4%
r2,5.0%
r20,92.5%
r15,0.0%
Total,27.4%
