List,dec
r31,0.0%
r7,100.0%
r10,40.0%
r21,25.0%
r34,25.7%
r4,10.0%
r33,17.1%
r12,3.3%
r13,31.4%
r6,80.0%
r29,84.6%
r3,73.3%
r24,2.5%
r32,100.0%
r16,16.7%
r28,6.7%
r25,10.0%
r23,22.2%
r18,3.3%
r11,33.3%
r27,96.0%
r5,17.5%
r17,6.7%
r19,94.1%
r8,3.3%
r1,0.0%
r30,6.7%
r22,7.1%
r26,0.0%
r9,4.5%
r14,40.0%
r2,5.0%
r20,17.5%
r15,0.0%
Total,29.0%
