List,dec
r31,0.0%
r7,100.0%
r10,20.0%
r21,75.0%
r34,51.4%
r4,20.0%
r33,0.0%
r12,6.7%
r13,0.0%
r6,97.1%
r29,100.0%
r3,6.7%
r24,7.5%
r32,100.0%
r16,10.0%
r28,0.0%
r25,0.0%
r23,5.6%
r18,26.7%
r11,0.0%
r27,96.0%
r5,15.0%
r17,16.7%
r19,17.6%
r8,76.7%
r1,3.3%
r30,50.0%
r22,0.0%
r26,0.0%
r9,0.0%
r14,6.7%
r2,32.5%
r20,0.0%
r15,0.0%
Total,28.4%
