List,dec
text+button,27.8%
popup_with_access,80.0%
text_only,56.7%
open_with,48.9%
text_empty,3.3%
share_with,76.9%
list+on_off,74.3%
advertisement+button,7.5%
image_list,64.4%
popup_date,66.7%
movie,63.3%
menu_list,40.0%
translate_with_sound,0.0%
IME,0.0%
dialer,13.3%
translate,92.0%
image_view,22.5%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,5.7%
pinpoint_location,76.7%
popup_with_continue_as_name,77.1%
list,7.5%
camera,0.0%
picture,53.3%
popup,0.0%
navigation_menu,20.0%
input_form,3.3%
select_dialog,60.0%
calendar,50.0%
text_image,10.0%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,34.8%
