List,dec
text+button,11.1%
popup_with_access,80.0%
text_only,3.3%
open_with,53.3%
text_empty,33.3%
share_with,76.9%
list+on_off,71.4%
advertisement+button,5.0%
image_list,64.4%
popup_date,33.3%
movie,63.3%
menu_list,40.0%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,30.0%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,14.3%
pinpoint_location,76.7%
popup_with_continue_as_name,0.0%
list,2.5%
camera,17.5%
picture,46.7%
popup,3.3%
navigation_menu,17.8%
input_form,3.3%
select_dialog,26.7%
calendar,0.0%
text_image,13.3%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,31.8%
