List,dec
text+button,22.2%
popup_with_access,0.0%
text_only,23.3%
open_with,2.2%
text_empty,16.7%
share_with,94.2%
list+on_off,42.9%
advertisement+button,60.0%
image_list,64.4%
popup_date,0.0%
movie,6.7%
menu_list,82.9%
translate_with_sound,0.0%
IME,30.0%
dialer,20.0%
translate,92.0%
image_view,17.5%
location_selection,76.7%
continue_as_name,75.0%
popup_with_full_screen,8.6%
pinpoint_location,76.7%
popup_with_continue_as_name,2.9%
list,7.5%
camera,2.5%
picture,53.3%
popup,16.7%
navigation_menu,13.3%
input_form,3.3%
select_dialog,3.3%
calendar,90.0%
text_image,3.3%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,31.1%
