List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,23.3%,0.0%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,11.4%,11.4%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,97.1%,97.1%
r6,71.4%,91.4%
r29,82.7%,76.9%
r3,26.7%,0.0%
r24,0.0%,7.5%
r32,0.0%,0.0%
r16,36.7%,43.3%
r28,100.0%,100.0%
r25,83.3%,83.3%
r23,5.6%,0.0%
r18,20.0%,16.7%
r11,42.2%,24.4%
r27,0.0%,96.0%
r5,0.0%,0.0%
r17,0.0%,3.3%
r19,0.0%,0.0%
r8,63.3%,63.3%
r1,73.3%,73.3%
r30,6.7%,33.3%
r22,4.8%,9.5%
r26,60.0%,40.0%
r9,100.0%,100.0%
r14,15.6%,15.6%
r2,87.5%,45.0%
r20,20.0%,55.0%
r15,0.0%,0.0%
Total,39.7%,41.4%
