List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,0.0%,0.0%
r10,60.0%,0.0%
r21,75.0%,75.0%
r34,20.0%,0.0%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,6.7%,26.7%
r13,45.7%,51.4%
r6,91.4%,94.3%
r29,53.8%,94.2%
r3,0.0%,0.0%
r24,0.0%,5.0%
r32,100.0%,100.0%
r16,40.0%,56.7%
r28,97.8%,97.8%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,30.0%,30.0%
r11,42.2%,48.9%
r27,96.0%,96.0%
r5,35.0%,20.0%
r17,26.7%,23.3%
r19,0.0%,0.0%
r8,90.0%,90.0%
r1,0.0%,0.0%
r30,3.3%,0.0%
r22,21.4%,21.4%
r26,0.0%,0.0%
r9,0.0%,100.0%
r14,22.2%,0.0%
r2,62.5%,32.5%
r20,20.0%,75.0%
r15,0.0%,30.0%
Total,39.4%,44.7%
