List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,23.3%,23.3%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,20.0%,20.0%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,97.1%,97.1%
r6,91.4%,91.4%
r29,90.4%,90.4%
r3,0.0%,0.0%
r24,20.0%,17.5%
r32,80.0%,80.0%
r16,40.0%,40.0%
r28,66.7%,66.7%
r25,83.3%,6.7%
r23,5.6%,0.0%
r18,0.0%,16.7%
r11,24.4%,42.2%
r27,0.0%,96.0%
r5,0.0%,0.0%
r17,10.0%,10.0%
r19,100.0%,0.0%
r8,60.0%,63.3%
r1,73.3%,73.3%
r30,0.0%,0.0%
r22,0.0%,0.0%
r26,0.0%,60.0%
r9,100.0%,100.0%
r14,17.8%,24.4%
r2,95.0%,92.5%
r20,32.5%,0.0%
r15,0.0%,0.0%
Total,43.2%,42.6%
