List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,76.7%,76.7%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,20.0%,20.0%
r4,0.0%,0.0%
r33,0.0%,100.0%
r12,16.7%,26.7%
r13,97.1%,97.1%
r6,91.4%,91.4%
r29,96.2%,100.0%
r3,0.0%,0.0%
r24,15.0%,17.5%
r32,100.0%,0.0%
r16,50.0%,53.3%
r28,97.8%,66.7%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,36.7%,33.3%
r11,73.3%,24.4%
r27,100.0%,100.0%
r5,0.0%,0.0%
r17,0.0%,0.0%
r19,0.0%,0.0%
r8,0.0%,83.3%
r1,90.0%,90.0%
r30,10.0%,10.0%
r22,2.4%,2.4%
r26,60.0%,0.0%
r9,100.0%,100.0%
r14,17.8%,4.4%
r2,95.0%,95.0%
r20,20.0%,20.0%
r15,70.0%,70.0%
Total,47.7%,46.2%
