List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,23.3%,23.3%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,0.0%,42.9%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,0.0%,40.0%
r13,97.1%,97.1%
r6,71.4%,91.4%
r29,90.4%,100.0%
r3,6.7%,0.0%
r24,7.5%,5.0%
r32,100.0%,100.0%
r16,60.0%,60.0%
r28,100.0%,100.0%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,20.0%,23.3%
r11,22.2%,22.2%
r27,96.0%,96.0%
r5,0.0%,22.5%
r17,0.0%,0.0%
r19,0.0%,0.0%
r8,83.3%,83.3%
r1,66.7%,70.0%
r30,13.3%,23.3%
r22,33.3%,0.0%
r26,0.0%,0.0%
r9,100.0%,100.0%
r14,37.8%,0.0%
r2,32.5%,65.0%
r20,0.0%,70.0%
r15,23.3%,63.3%
Total,43.2%,50.5%
