List,gaussian_mixture,kmeans
r31,100.0%,66.7%
r7,0.0%,23.3%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,17.1%,17.1%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,43.3%,43.3%
r13,97.1%,91.4%
r6,91.4%,91.4%
r29,90.4%,90.4%
r3,0.0%,0.0%
r24,27.5%,17.5%
r32,96.7%,100.0%
r16,40.0%,43.3%
r28,95.6%,66.7%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,0.0%,0.0%
r11,22.2%,22.2%
r27,96.0%,0.0%
r5,0.0%,0.0%
r17,0.0%,0.0%
r19,0.0%,0.0%
r8,76.7%,76.7%
r1,3.3%,0.0%
r30,3.3%,3.3%
r22,11.9%,2.4%
r26,0.0%,0.0%
r9,100.0%,100.0%
r14,44.4%,31.1%
r2,32.5%,62.5%
r20,25.0%,47.5%
r15,0.0%,23.3%
Total,42.8%,40.9%
