List,gaussian_mixture,kmeans
r31,50.0%,0.0%
r7,0.0%,0.0%
r10,0.0%,60.0%
r21,75.0%,75.0%
r34,0.0%,14.3%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,0.0%,51.4%
r6,97.1%,97.1%
r29,7.7%,92.3%
r3,0.0%,0.0%
r24,12.5%,12.5%
r32,100.0%,0.0%
r16,46.7%,46.7%
r28,97.8%,100.0%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,23.3%,23.3%
r11,48.9%,48.9%
r27,96.0%,96.0%
r5,65.0%,25.0%
r17,0.0%,0.0%
r19,0.0%,0.0%
r8,0.0%,0.0%
r1,0.0%,0.0%
r30,26.7%,3.3%
r22,2.4%,0.0%
r26,60.0%,60.0%
r9,100.0%,100.0%
r14,37.8%,31.1%
r2,20.0%,50.0%
r20,0.0%,55.0%
r15,60.0%,36.7%
Total,37.4%,41.2%
