List,gaussian_mixture,kmeans
r31,16.7%,0.0%
r7,76.7%,23.3%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,14.3%,28.6%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,97.1%,91.4%
r6,91.4%,91.4%
r29,100.0%,100.0%
r3,0.0%,0.0%
r24,17.5%,30.0%
r32,96.7%,96.7%
r16,26.7%,30.0%
r28,0.0%,40.0%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,16.7%,20.0%
r11,73.3%,55.6%
r27,0.0%,96.0%
r5,0.0%,0.0%
r17,3.3%,10.0%
r19,0.0%,0.0%
r8,80.0%,3.3%
r1,86.7%,93.3%
r30,13.3%,0.0%
r22,0.0%,0.0%
r26,0.0%,60.0%
r9,100.0%,100.0%
r14,11.1%,2.2%
r2,30.0%,62.5%
r20,20.0%,12.5%
r15,3.3%,0.0%
Total,40.4%,42.2%
