List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,6.7%
open_with,24.4%
text_empty,13.3%
share_with,84.6%
list+on_off,0.0%
advertisement+button,22.5%
image_list,40.0%
popup_date,0.0%
movie,6.7%
menu_list,0.0%
translate_with_sound,100.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,7.5%
location_selection,0.0%
continue_as_name,100.0%
popup_with_full_screen,11.4%
pinpoint_location,3.3%
popup_with_continue_as_name,80.0%
list,37.5%
camera,87.5%
picture,26.7%
popup,3.3%
navigation_menu,24.4%
input_form,3.3%
select_dialog,6.7%
calendar,3.3%
text_image,16.7%
continue_button,9.5%
theme,0.0%
homescreen,40.0%
Total,25.9%
