List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,10.0%
open_with,0.0%
text_empty,10.0%
share_with,94.2%
list+on_off,94.3%
advertisement+button,2.5%
image_list,37.8%
popup_date,16.7%
movie,23.3%
menu_list,2.9%
translate_with_sound,0.0%
IME,30.0%
dialer,13.3%
translate,92.0%
image_view,5.0%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,0.0%
pinpoint_location,3.3%
popup_with_continue_as_name,0.0%
list,25.0%
camera,0.0%
picture,53.3%
popup,3.3%
navigation_menu,2.2%
input_form,10.0%
select_dialog,3.3%
calendar,3.3%
text_image,13.3%
continue_button,19.0%
theme,18.2%
homescreen,20.0%
Total,21.3%
