List,dec
text+button,11.1%
popup_with_access,0.0%
text_only,66.7%
open_with,0.0%
text_empty,3.3%
share_with,94.2%
list+on_off,31.4%
advertisement+button,0.0%
image_list,15.6%
popup_date,0.0%
movie,6.7%
menu_list,2.9%
translate_with_sound,0.0%
IME,0.0%
dialer,13.3%
translate,92.0%
image_view,10.0%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,22.9%
pinpoint_location,0.0%
popup_with_continue_as_name,82.9%
list,25.0%
camera,92.5%
picture,53.3%
popup,6.7%
navigation_menu,4.4%
input_form,33.3%
select_dialog,0.0%
calendar,0.0%
text_image,20.0%
continue_button,7.1%
theme,0.0%
homescreen,0.0%
Total,26.0%
