List,dec
text+button,5.6%
popup_with_access,0.0%
text_only,0.0%
open_with,24.4%
text_empty,6.7%
share_with,94.2%
list+on_off,88.6%
advertisement+button,27.5%
image_list,20.0%
popup_date,0.0%
movie,33.3%
menu_list,85.7%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,0.0%
image_view,10.0%
location_selection,3.3%
continue_as_name,75.0%
popup_with_full_screen,8.6%
pinpoint_location,76.7%
popup_with_continue_as_name,85.7%
list,2.5%
camera,92.5%
picture,53.3%
popup,3.3%
navigation_menu,8.9%
input_form,3.3%
select_dialog,86.7%
calendar,60.0%
text_image,16.7%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,32.6%
