List,dec
text+button,0.0%
popup_with_access,0.0%
text_only,16.7%
open_with,0.0%
text_empty,0.0%
share_with,94.2%
list+on_off,94.3%
advertisement+button,0.0%
image_list,57.8%
popup_date,50.0%
movie,36.7%
menu_list,88.6%
translate_with_sound,0.0%
IME,10.0%
dialer,0.0%
translate,0.0%
image_view,2.5%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,83.3%
popup_with_continue_as_name,62.9%
list,25.0%
camera,20.0%
picture,0.0%
popup,0.0%
navigation_menu,6.7%
input_form,3.3%
select_dialog,0.0%
calendar,0.0%
text_image,0.0%
continue_button,0.0%
theme,4.5%
homescreen,0.0%
Total,23.7%
