List,dec
text+button,11.1%
popup_with_access,3.3%
text_only,33.3%
open_with,2.2%
text_empty,13.3%
share_with,94.2%
list+on_off,68.6%
advertisement+button,60.0%
image_list,42.2%
popup_date,16.7%
movie,33.3%
menu_list,82.9%
translate_with_sound,100.0%
IME,20.0%
dialer,6.7%
translate,4.0%
image_view,10.0%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,8.6%
pinpoint_location,3.3%
popup_with_continue_as_name,68.6%
list,10.0%
camera,0.0%
picture,6.7%
popup,23.3%
navigation_menu,13.3%
input_form,3.3%
select_dialog,53.3%
calendar,90.0%
text_image,6.7%
continue_button,7.1%
theme,95.5%
homescreen,0.0%
Total,32.1%
