List,dec
text+button,5.6%
popup_with_access,76.7%
text_only,0.0%
open_with,57.8%
text_empty,6.7%
share_with,1.9%
list+on_off,94.3%
advertisement+button,85.0%
image_list,66.7%
popup_date,16.7%
movie,63.3%
menu_list,80.0%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,2.5%
location_selection,0.0%
continue_as_name,25.0%
popup_with_full_screen,8.6%
pinpoint_location,3.3%
popup_with_continue_as_name,2.9%
list,45.0%
camera,57.5%
picture,0.0%
popup,16.7%
navigation_menu,4.4%
input_form,6.7%
select_dialog,0.0%
calendar,0.0%
text_image,3.3%
continue_button,7.1%
theme,0.0%
homescreen,0.0%
Total,28.5%
