List,dec
text+button,11.1%
popup_with_access,76.7%
text_only,23.3%
open_with,22.2%
text_empty,13.3%
share_with,88.5%
list+on_off,88.6%
advertisement+button,27.5%
image_list,2.2%
popup_date,0.0%
movie,63.3%
menu_list,85.7%
translate_with_sound,0.0%
IME,0.0%
dialer,0.0%
translate,0.0%
image_view,2.5%
location_selection,6.7%
continue_as_name,75.0%
popup_with_full_screen,8.6%
pinpoint_location,76.7%
popup_with_continue_as_name,5.7%
list,12.5%
camera,80.0%
picture,53.3%
popup,6.7%
navigation_menu,8.9%
input_form,3.3%
select_dialog,86.7%
calendar,60.0%
text_image,3.3%
continue_button,21.4%
theme,0.0%
homescreen,0.0%
Total,32.7%
