List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,13.3%
open_with,2.2%
text_empty,13.3%
share_with,94.2%
list+on_off,65.7%
advertisement+button,60.0%
image_list,66.7%
popup_date,0.0%
movie,33.3%
menu_list,82.9%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,10.0%
location_selection,3.3%
continue_as_name,0.0%
popup_with_full_screen,11.4%
pinpoint_location,76.7%
popup_with_continue_as_name,2.9%
list,57.5%
camera,0.0%
picture,6.7%
popup,23.3%
navigation_menu,6.7%
input_form,6.7%
select_dialog,53.3%
calendar,90.0%
text_image,6.7%
continue_button,11.9%
theme,0.0%
homescreen,20.0%
Total,32.1%
