List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,40.0%
open_with,53.3%
text_empty,3.3%
share_with,76.9%
list+on_off,71.4%
advertisement+button,17.5%
image_list,64.4%
popup_date,50.0%
movie,63.3%
menu_list,40.0%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,30.0%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,20.0%
pinpoint_location,76.7%
popup_with_continue_as_name,2.9%
list,5.0%
camera,32.5%
picture,53.3%
popup,20.0%
navigation_menu,31.1%
input_form,0.0%
select_dialog,60.0%
calendar,0.0%
text_image,3.3%
continue_button,4.8%
theme,4.5%
homescreen,20.0%
Total,33.3%
