List,dec
text+button,11.1%
popup_with_access,80.0%
text_only,23.3%
open_with,37.8%
text_empty,36.7%
share_with,84.6%
list+on_off,37.1%
advertisement+button,85.0%
image_list,0.0%
popup_date,0.0%
movie,63.3%
menu_list,42.9%
translate_with_sound,0.0%
IME,0.0%
dialer,13.3%
translate,92.0%
image_view,2.5%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,14.3%
pinpoint_location,76.7%
popup_with_continue_as_name,2.9%
list,77.5%
camera,0.0%
picture,0.0%
popup,3.3%
navigation_menu,4.4%
input_form,0.0%
select_dialog,50.0%
calendar,3.3%
text_image,3.3%
continue_button,26.2%
theme,95.5%
homescreen,20.0%
Total,34.8%
