List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,3.3%
open_with,6.7%
text_empty,33.3%
share_with,76.9%
list+on_off,71.4%
advertisement+button,70.0%
image_list,22.2%
popup_date,66.7%
movie,60.0%
menu_list,2.9%
translate_with_sound,0.0%
IME,0.0%
dialer,0.0%
translate,92.0%
image_view,20.0%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,5.7%
pinpoint_location,73.3%
popup_with_continue_as_name,80.0%
list,2.5%
camera,2.5%
picture,53.3%
popup,10.0%
navigation_menu,4.4%
input_form,3.3%
select_dialog,60.0%
calendar,0.0%
text_image,13.3%
continue_button,2.4%
theme,18.2%
homescreen,0.0%
Total,31.4%
