List,dec
text+button,16.7%
popup_with_access,3.3%
text_only,26.7%
open_with,2.2%
text_empty,13.3%
share_with,94.2%
list+on_off,28.6%
advertisement+button,25.0%
image_list,66.7%
popup_date,0.0%
movie,63.3%
menu_list,82.9%
translate_with_sound,88.2%
IME,0.0%
dialer,6.7%
translate,0.0%
image_view,7.5%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,14.3%
pinpoint_location,76.7%
popup_with_continue_as_name,65.7%
list,7.5%
camera,2.5%
picture,53.3%
popup,3.3%
navigation_menu,20.0%
input_form,3.3%
select_dialog,56.7%
calendar,90.0%
text_image,3.3%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,31.0%
