List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,23.3%
open_with,4.4%
text_empty,23.3%
share_with,94.2%
list+on_off,62.9%
advertisement+button,7.5%
image_list,2.2%
popup_date,0.0%
movie,63.3%
menu_list,82.9%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,12.5%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,8.6%
pinpoint_location,3.3%
popup_with_continue_as_name,0.0%
list,60.0%
camera,32.5%
picture,6.7%
popup,23.3%
navigation_menu,2.2%
input_form,10.0%
select_dialog,6.7%
calendar,90.0%
text_image,3.3%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,26.1%
