List,dec
c12,40.0%
c13,40.0%
c18,3.3%
c21,13.2%
c6,2.9%
c3,13.3%
c1,76.7%
c23,21.1%
c5,10.0%
c17,3.3%
c11,31.1%
c2,60.0%
c7,100.0%
c16,30.0%
c15,6.7%
c10,0.0%
c20,47.4%
c14,17.8%
c9,0.0%
c19,17.6%
c22,97.3%
c8,76.7%
c4,0.0%
Total,34.0%
