List,dec
text+button,11.1%
popup_with_access,3.3%
text_only,6.7%
open_with,0.0%
text_empty,23.3%
share_with,94.2%
list+on_off,2.9%
advertisement+button,77.5%
image_list,37.8%
popup_date,16.7%
movie,26.7%
menu_list,80.0%
translate_with_sound,0.0%
IME,30.0%
dialer,6.7%
translate,92.0%
image_view,2.5%
location_selection,76.7%
continue_as_name,25.0%
popup_with_full_screen,0.0%
pinpoint_location,3.3%
popup_with_continue_as_name,0.0%
list,17.5%
camera,55.0%
picture,40.0%
popup,3.3%
navigation_menu,0.0%
input_form,10.0%
select_dialog,3.3%
calendar,3.3%
text_image,6.7%
continue_button,2.4%
theme,18.2%
homescreen,0.0%
Total,24.9%
