List,dec
text+button,0.0%
popup_with_access,0.0%
text_only,13.3%
open_with,24.4%
text_empty,13.3%
share_with,84.6%
list+on_off,20.0%
advertisement+button,37.5%
image_list,40.0%
popup_date,0.0%
movie,13.3%
menu_list,37.1%
translate_with_sound,100.0%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,7.5%
location_selection,0.0%
continue_as_name,100.0%
popup_with_full_screen,2.9%
pinpoint_location,3.3%
popup_with_continue_as_name,80.0%
list,32.5%
camera,87.5%
picture,0.0%
popup,6.7%
navigation_menu,0.0%
input_form,3.3%
select_dialog,3.3%
calendar,33.3%
text_image,16.7%
continue_button,9.5%
theme,0.0%
homescreen,0.0%
Total,27.3%
