List,dec
text+button,0.0%
popup_with_access,0.0%
text_only,50.0%
open_with,88.9%
text_empty,13.3%
share_with,0.0%
list+on_off,94.3%
advertisement+button,82.5%
image_list,64.4%
popup_date,0.0%
movie,60.0%
menu_list,0.0%
translate_with_sound,0.0%
IME,0.0%
dialer,0.0%
translate,0.0%
image_view,0.0%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,0.0%
pinpoint_location,0.0%
popup_with_continue_as_name,14.3%
list,0.0%
camera,67.5%
picture,0.0%
popup,0.0%
navigation_menu,0.0%
input_form,0.0%
select_dialog,13.3%
calendar,0.0%
text_image,0.0%
continue_button,0.0%
theme,0.0%
homescreen,0.0%
Total,20.8%
