List,dec
c12,16.7%
c13,40.0%
c18,3.3%
c21,5.3%
c6,97.1%
c3,6.7%
c1,53.3%
c23,15.8%
c5,30.0%
c17,3.3%
c11,71.1%
c2,60.0%
c7,23.3%
c16,33.3%
c15,56.7%
c10,0.0%
c20,2.6%
c14,20.0%
c9,0.0%
c19,100.0%
c22,0.0%
c8,83.3%
c4,0.0%
Total,33.4%
