List,dec
text+button,11.1%
popup_with_access,80.0%
text_only,3.3%
open_with,53.3%
text_empty,3.3%
share_with,76.9%
list+on_off,71.4%
advertisement+button,15.0%
image_list,64.4%
popup_date,66.7%
movie,3.3%
menu_list,2.9%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,80.0%
image_view,25.0%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,5.7%
pinpoint_location,76.7%
popup_with_continue_as_name,80.0%
list,15.0%
camera,57.5%
picture,53.3%
popup,3.3%
navigation_menu,2.2%
input_form,6.7%
select_dialog,30.0%
calendar,10.0%
text_image,3.3%
continue_button,4.8%
theme,4.5%
homescreen,0.0%
Total,32.3%
