List,dec
text+button,16.7%
popup_with_access,3.3%
text_only,23.3%
open_with,2.2%
text_empty,6.7%
share_with,94.2%
list+on_off,65.7%
advertisement+button,60.0%
image_list,66.7%
popup_date,16.7%
movie,6.7%
menu_list,80.0%
translate_with_sound,0.0%
IME,0.0%
dialer,13.3%
translate,92.0%
image_view,5.0%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,8.6%
pinpoint_location,76.7%
popup_with_continue_as_name,74.3%
list,10.0%
camera,0.0%
picture,53.3%
popup,16.7%
navigation_menu,11.1%
input_form,3.3%
select_dialog,3.3%
calendar,90.0%
text_image,3.3%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,30.9%
