List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,56.7%
open_with,2.2%
text_empty,13.3%
share_with,94.2%
list+on_off,28.6%
advertisement+button,85.0%
image_list,66.7%
popup_date,50.0%
movie,63.3%
menu_list,82.9%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,5.0%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,25.7%
pinpoint_location,0.0%
popup_with_continue_as_name,77.1%
list,25.0%
camera,2.5%
picture,6.7%
popup,10.0%
navigation_menu,15.6%
input_form,3.3%
select_dialog,53.3%
calendar,0.0%
text_image,3.3%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,32.6%
